Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
A Place for the Unwilling,a-place-for-the-unwilling.webp (https://dl.airtable.com/.attachments/797575d0f1c3516c0ae5223f410b1283/5bc78b24/a-place-for-the-unwilling.webp),Released,23.2.2021,1920x1080 (FHD),placefor_proof.png (https://dl.airtable.com/.attachments/d2732d27423ae39f038a33c4ff488fbf/3d36180b/placefor_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,AlPixel Games,AlPixel Games,£14.99,$14.99,https://stadia.google.com/store/details/d5a3bd3f904647e1b72b346be7330c39rcp1/sku/35e23f647e6242f4bd298c68f111aca9p
A.O.T. 2: Final Battle,attack-on-titan-2-final-battle.webp (https://dl.airtable.com/.attachments/478dc4fbe14d6eb85edf5abd76feb0c5/698aff11/attack-on-titan-2-final-battle.webp),Released,19.11.2019,3840x2160 (4K),aot_proof.png (https://dl.airtable.com/.attachments/55152ca0523c3fcf2161e2b103daf534/ca85009f/aot_proof.png),30,SDR,"Specs confirmed by devs/pubs,60FPS in 1080p mode,Pixel Count",None,KOEI TECMO GAMES CO.,KOEI TECMO GAMES CO.,£54.99,$59.99,https://stadia.google.com/store/details/a38d988fb142400c947bf0a7b37fd404rcp1/sku/f879d932d28c4104958c7976f201ba38
Ary and the Secret of Seasons,ary-and-the-secret-of-seasons.webp (https://dl.airtable.com/.attachments/937b56e61b57ce396b92fe49da568d2b/12d8ae3e/ary-and-the-secret-of-seasons.webp),"Released,Currently Claimable with Pro",5.11.2020,1920x1080 (FHD),ary_proof.png (https://dl.airtable.com/.attachments/87d62f023b7941c76d36b2886a3654f4/1bcb9575/ary_proof.png),60,SDR,"Specs confirmed by devs/pubs,Not compatible with 4K mode,Pixel Count",None,Poppy Works,Modus Games,£34.99,$39.99,https://stadia.google.com/store/details/016636d5f49f4862be3ff8cbcf6c7adercp1/sku/be70e67b1fd64dc2bb4f002e65239731p
Assassin's Creed Odyssey,assassins-creed-odyssey.webp (https://dl.airtable.com/.attachments/ad07dbc2a27a7d3b6d80a02002077bb8/cb819ba0/assassins-creed-odyssey.webp),Released,19.11.2019,2880x1620 (3K),odyssey_proof.png (https://dl.airtable.com/.attachments/fda816bb7eb895b58de31f238abd467d/e51702d9/odyssey_proof.png),30,HDR,"Pixel Count,Specs confirmed by devs/pubs,30FPS in 1080p mode",None,Ubisoft,Ubisoft,£54.99,$59.99,https://stadia.google.com/store/details/8b7e7f7036e5483eaa8745d46248536crcp1/sku/6760aad6e75b4edc9686c48e8dd38936
Assassin's Creed Origins,assassins-creed-origins.webp (https://dl.airtable.com/.attachments/d6a06b8c234a8e6b41179fd14ebf8f51/59e91b8e/assassins-creed-origins.webp),Released,15.12.2020,3840x2160 (4K),origins_proof.png (https://dl.airtable.com/.attachments/de32f4f9b3f5f295a000660990c1bd30/d2bb6ac6/origins_proof.png),30,HDR,"30FPS in 1080p mode,No HDR settings,Pixel Count",None,Ubisoft,Ubisoft,£59.99,$59.99,https://stadia.google.com/store/details/11dfda5b2d78475d8624972b9b78c995rcp1/sku/562bc9b24c514a019dddd4d848bec0b9p
Assassin's Creed Syndicate,assassins-creed-syndicate.webp (https://dl.airtable.com/.attachments/b898b590de236c220eb602c3bfb53835/2277639b/assassins-creed-syndicate.webp),Released,15.12.2020,2880x1620 (3K),syndicate_proof.png (https://dl.airtable.com/.attachments/7857692fc9670a6cbf5a14a606da8499/2417a8cf/syndicate_proof.png),30,HDR,"Pixel Count,30FPS in 1080p mode,No HDR settings",None,Ubisoft,Ubisoft,£24.99,$29.99,https://stadia.google.com/store/details/88a2945345f744519c5148ddd54f26d1rcp1/sku/8aa42ef528804d0ba75608240a6c0289p
Assassin's Creed Unity,assassins-creed-unity.webp (https://dl.airtable.com/.attachments/482e087e190da202d11723337d400e18/965ce7c6/assassins-creed-unity.webp),Released,15.12.2020,3200x1800 (3.5K),unity_proof.png (https://dl.airtable.com/.attachments/28442c8882e34edda29e1f3a11d606d6/a003d48c/unity_proof.png),30,HDR,"Pixel Count,30FPS in 1080p mode,No HDR settings",None,Ubisoft,Ubisoft,£24.99,$29.99,https://stadia.google.com/store/details/92f77c19718444499ffb3054dd97ca36rcp1/sku/41225d1572f64d53948ce77fb498a4e4p
Assassin's Creed: Valhalla,assassins-creed-valhalla.webp (https://dl.airtable.com/.attachments/4c3e74b9394237382062bcdc331829b4/bb90f3eb/assassins-creed-valhalla.webp),Released,10.11.2020,3840x2160 (4K),valhalla_proof.png (https://dl.airtable.com/.attachments/b83b319b168a95353b7f4e1c8319e89f/7edeafab/valhalla_proof.png),30,HDR,"Pixel Count,30FPS in 1080p mode",None,Ubisoft,Ubisoft,£59.99,$59.99,https://stadia.google.com/store/details/377f50584071472096bcda89b0839bc3rcp1/sku/eefdc4164b384e39a68c67be30220410
AVICII Invector,avicii-invector.webp (https://dl.airtable.com/.attachments/96aeea14d7434e252bfc6f31998cf571/a19a2273/avicii-invector.webp),"Released,Currently Claimable with Pro",1.3.2021,3840x2160 (4K),avicii_proof.png (https://dl.airtable.com/.attachments/961b1dbc3de1a90a3bae55848b86c9cd/91790498/avicii_proof.png),30,SDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",None,Hello There,Hello There,£19.99,$19.99,https://stadia.google.com/store/details/2c8b9ab112e5460db922dc7353381256rcp1/sku/afb2b66ddd744605a3d01acbeaf3ba01p
Baldur's Gate III,baldurs-gate-3.webp (https://dl.airtable.com/.attachments/e82fb28cfbc743bb59ac0bd3514db51e/d1aefa11/baldurs-gate-3.webp),Released,6.10.2020,3840x2160 (4K),,30,HDR,"Pixel Count,30FPS in 1080p mode",Partial Cross play,Larian Studios,Larian Studios,£49.99,$59.99,https://stadia.google.com/store/details/41de509cbdbb4a13828636099c57731arcp1/sku/a84dcb8e05e74083b5c879b49e923205p
