Title,Store Link,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),ID,Chris' Comments Box
A Place for the Unwilling,https://stadia.google.com/store/details/d5a3bd3f904647e1b72b346be7330c39rcp1/sku/35e23f647e6242f4bd298c68f111aca9p,1920x1080 (FHD),60,SDR,d5a3bd3f904647e1b72b346be7330c39rcp1,Pixel Count | Specs confirmed by devs/pubs
A.O.T. 2: Final Battle,https://stadia.google.com/store/details/a38d988fb142400c947bf0a7b37fd404rcp1/sku/f879d932d28c4104958c7976f201ba38,3840x2160 (4K),30,SDR,a38d988fb142400c947bf0a7b37fd404rcp1,Specs confirmed by devs/pubs | 60FPS in 1080p mode | Pixel Count
Ary and the Secret of Seasons,https://stadia.google.com/store/details/016636d5f49f4862be3ff8cbcf6c7adercp1/sku/be70e67b1fd64dc2bb4f002e65239731p,1920x1080 (FHD),60,SDR,016636d5f49f4862be3ff8cbcf6c7adercp1,Specs confirmed by devs/pubs | Not compatible with 4K mode | Pixel Count
Assassin's Creed Odyssey,https://stadia.google.com/store/details/8b7e7f7036e5483eaa8745d46248536crcp1/sku/6760aad6e75b4edc9686c48e8dd38936,2880x1620 (3K),30,HDR,8b7e7f7036e5483eaa8745d46248536crcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Assassin's Creed Origins,https://stadia.google.com/store/details/11dfda5b2d78475d8624972b9b78c995rcp1/sku/562bc9b24c514a019dddd4d848bec0b9p,3840x2160 (4K),30,HDR,11dfda5b2d78475d8624972b9b78c995rcp1,30FPS in 1080p mode | No HDR settings | Pixel Count
Assassin's Creed Syndicate,https://stadia.google.com/store/details/88a2945345f744519c5148ddd54f26d1rcp1/sku/8aa42ef528804d0ba75608240a6c0289p,2880x1620 (3K),30,HDR,88a2945345f744519c5148ddd54f26d1rcp1,Pixel Count | 30FPS in 1080p mode | No HDR settings
Assassin's Creed Unity,https://stadia.google.com/store/details/92f77c19718444499ffb3054dd97ca36rcp1/sku/41225d1572f64d53948ce77fb498a4e4p,3200x1800 (3.5K),30,HDR,92f77c19718444499ffb3054dd97ca36rcp1,Pixel Count | 30FPS in 1080p mode | No HDR settings
Assassin's Creed: Valhalla,https://stadia.google.com/store/details/377f50584071472096bcda89b0839bc3rcp1/sku/eefdc4164b384e39a68c67be30220410,3840x2160 (4K),30,HDR,377f50584071472096bcda89b0839bc3rcp1,Pixel Count | 30FPS in 1080p mode
AVICII Invector,https://stadia.google.com/store/details/2c8b9ab112e5460db922dc7353381256rcp1/sku/afb2b66ddd744605a3d01acbeaf3ba01p,3840x2160 (4K),30,SDR,2c8b9ab112e5460db922dc7353381256rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Baldur's Gate III,https://stadia.google.com/store/details/41de509cbdbb4a13828636099c57731arcp1/sku/a84dcb8e05e74083b5c879b49e923205p,3840x2160 (4K),30,HDR,41de509cbdbb4a13828636099c57731arcp1,Pixel Count | 30FPS in 1080p mode
Blue Fire,https://stadia.google.com/store/details/e9c4d2fc77424c34b0cd570bd761aab0rcp1/sku/f368b1f436404e55bd96d733652d75a7p,3840x2160 (4K),60,SDR,e9c4d2fc77424c34b0cd570bd761aab0rcp1,Pixel Count
Borderlands 3,https://stadia.google.com/store/details/be080ad40b434ca289166031d3e88623rcp1/sku/958f4c0900c64e7e83b9218ab479304e,3200x1800 (3.5K),30,HDR,be080ad40b434ca289166031d3e88623rcp1,Pixel Count | 60FPS in 1080p mode
Cake Bash,https://stadia.google.com/store/details/19efd5fa36794d7b8bc87de68124e705rcp1/sku/a7f0a6098ae747788a6f75d0d1e1d8f2p,3840x2160 (4K),60,SDR,19efd5fa36794d7b8bc87de68124e705rcp1,Performance/Quality toggle | Pixel Count | Specs confirmed by devs/pubs
Celeste,https://stadia.google.com/store/details/c911998e4f8d4c6ea6712c5ad33e4a54rcp1/sku/68fb07a7c4ac41f1afb21d742c717538,Pixel Art/Retro,60,SDR,c911998e4f8d4c6ea6712c5ad33e4a54rcp1,Pixel Count
Chronos: Before the Ashes,https://stadia.google.com/store/details/3f94b62fa50c4202be10472947478f8frcp1/sku/c3fcca2c75614bf6b634bedc2f766003p,3840x2160 (4K),60,SDR,3f94b62fa50c4202be10472947478f8frcp1,Pixel Count
