Title,Chris' Resolutions,Chris' Framerates,Chris' Pro Features,Chris' SEFs,Chris' Crossplay Box,ID,Not Tested,Chris' Support
A Place for the Unwilling,1920x1080,60FPS,4K Mode,None,None,d5a3bd3f904647e1b72b346be7330c39rcp1,,http://discord.gg/ydmSBdU
A.O.T. 2: Final Battle,3840x2160,30FPS | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,a38d988fb142400c947bf0a7b37fd404rcp1,,https://support.koeitecmo.info/hc/en-us/requests/new
Ary and the Secret of Seasons,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,5.1,None,None,016636d5f49f4862be3ff8cbcf6c7adercp1,,https://modusgames.com/support/
Assassin's Creed Odyssey,2880x1620,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,8b7e7f7036e5483eaa8745d46248536crcp1,,https://www.ubisoft.com/en-us/help/contact
Assassin's Creed Origins,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,11dfda5b2d78475d8624972b9b78c995rcp1,,https://www.ubisoft.com/en-us/help/contact
Assassin's Creed Syndicate,2880x1620,30FPS | 30FPS in 1080p Mode,4K Mode | 5.1,None,None,88a2945345f744519c5148ddd54f26d1rcp1,,https://www.ubisoft.com/en-us/help/contact
Assassin's Creed Unity,3200x1800,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,92f77c19718444499ffb3054dd97ca36rcp1,,https://www.ubisoft.com/en-us/help/contact
Assassin's Creed: Valhalla,3840x2160,30/60FPS Toggle | 30/60FPS Toggle in 1080p Mode,4K Mode | HDR | 5.1,None,None,377f50584071472096bcda89b0839bc3rcp1,,https://www.ubisoft.com/en-us/help/contact
AVICII Invector,3840x2160,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode,None,None,2c8b9ab112e5460db922dc7353381256rcp1,,info@hellothere.se
Baldur's Gate III,2304x1296,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,Crowd Choice,None,41de509cbdbb4a13828636099c57731arcp1,,support@larian.com
Blue Fire,3840x2160,60FPS,4K Mode,None,None,e9c4d2fc77424c34b0cd570bd761aab0rcp1,,https://www.graffitigames.com/contact
Borderlands 3,3200x1800,30FPS | 60FPS in 1080p Mode,4K Mode | HDR | 5.1,Crowd Play,PC | Xbox,be080ad40b434ca289166031d3e88623rcp1,,https://support.2k.com/hc/en-us/requests/new
Cake Bash,3840x2160,60FPS,4K Mode,None,PC,19efd5fa36794d7b8bc87de68124e705rcp1,,https://coatsink.com/contact#open-overlay
Celeste,Pixel Art/Retro,60FPS,4K Mode,None,None,c911998e4f8d4c6ea6712c5ad33e4a54rcp1,,contact.celestegame@gmail.com
Chronos: Before the Ashes,3840x2160,60FPS,4K Mode,None,None,3f94b62fa50c4202be10472947478f8frcp1,,support@gunfiregames.com
Cosmic Star Heroine,Pixel Art/Retro | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,88396e4e44c94d43b4259e6bedbd582crcp1,,rdespair@gmail.com
Crayta,2560x1440,60FPS,4K Mode | HDR | 5.1,Crowd Play | State Share,PC,05f66a46027747a08b930ea70374ac7frcp1,,https://support.crayta.com/hc/en-us/requests/new
Cris Tales,3840x2160,60FPS,4K Mode | HDR,None,None,e5355e531fdb453f9876400180a1c254rcp1,,https://modusgames.com/support/
Cthulhu Saves Christmas,Pixel Art/Retro | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,769a088b9ef04c04b341911a1ef8b8ecrcp1,,rdespair@gmail.com
Cyberpunk,3200x1800,30/60FPS Toggle | 30/60FPS Toggle in 1080p Mode,4K Mode | HDR | 5.1,None,None,49697e672bc34e7d8a5f73f78cb580d0rcp1,,https://support.cdprojektred.com/en/cyberpunk/stadia
Darksiders Genesis,2560x1440,60FPS,4K Mode | 5.1,None,None,f39390395ed5444d8e9b23460c8f9152rcp1,,https://www.thqnordic.com/company/contact
Dead by Daylight,2880x1620,60FPS,4K Mode | 5.1,Crowd Choice | Crowd Play,PC | Xbox | PlayStation | Nintendo Switch,b67e43f2b05f4ba7acc56a4b222568aarcp1,,https://support.deadbydaylight.com/hc/en-us/requests/new
