Title,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Cross-platform (EN),ID,Chris' Comments Box
A Place for the Unwilling,1920x1080,60,SDR,None,d5a3bd3f904647e1b72b346be7330c39rcp1,Pixel Count | Specs confirmed by devs/pubs
A.O.T. 2: Final Battle,3840x2160,30,SDR,None,a38d988fb142400c947bf0a7b37fd404rcp1,Specs confirmed by devs/pubs | 60FPS in 1080p mode | Pixel Count
Ary and the Secret of Seasons,1920x1080,60,SDR,None,016636d5f49f4862be3ff8cbcf6c7adercp1,Specs confirmed by devs/pubs | Not compatible with 4K mode | Pixel Count
Assassin's Creed Odyssey,2880x1620,30,HDR,None,8b7e7f7036e5483eaa8745d46248536crcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Assassin's Creed Origins,3840x2160,30,HDR,None,11dfda5b2d78475d8624972b9b78c995rcp1,30FPS in 1080p mode | No HDR settings | Pixel Count
Assassin's Creed Syndicate,2880x1620,30,HDR,None,88a2945345f744519c5148ddd54f26d1rcp1,Pixel Count | 30FPS in 1080p mode | No HDR settings
Assassin's Creed Unity,3200x1800,30,HDR,None,92f77c19718444499ffb3054dd97ca36rcp1,Pixel Count | 30FPS in 1080p mode | No HDR settings
Assassin's Creed: Valhalla,3840x2160,30,HDR,None,377f50584071472096bcda89b0839bc3rcp1,Pixel Count | 30FPS in 1080p mode
AVICII Invector,3840x2160,30,SDR,None,2c8b9ab112e5460db922dc7353381256rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Baldur's Gate III,3840x2160,30,HDR,PC,41de509cbdbb4a13828636099c57731arcp1,Pixel Count | 30FPS in 1080p mode
Blue Fire,3840x2160,60,SDR,None,e9c4d2fc77424c34b0cd570bd761aab0rcp1,Pixel Count
Borderlands 3,3200x1800,30,HDR,None,be080ad40b434ca289166031d3e88623rcp1,Pixel Count | 60FPS in 1080p mode
Cake Bash,3840x2160,60,SDR,PC,19efd5fa36794d7b8bc87de68124e705rcp1,Performance/Quality toggle | Pixel Count | Specs confirmed by devs/pubs
Celeste,Pixel Art/Retro,60,SDR,None,c911998e4f8d4c6ea6712c5ad33e4a54rcp1,Pixel Count
Chronos: Before the Ashes,3840x2160,60,SDR,None,3f94b62fa50c4202be10472947478f8frcp1,Pixel Count
Cosmic Star Heroine,Pixel Art/Retro,60,SDR,None,88396e4e44c94d43b4259e6bedbd582crcp1,Not compatible with 4K mode
Crayta,2560x1440,60,HDR,PC,05f66a46027747a08b930ea70374ac7frcp1,Pixel Count
Cris Tales,3840x2160,60,HDR,None,e5355e531fdb453f9876400180a1c254rcp1,Pixel Count | No HDR settings
Cthulhu Saves Christmas,Pixel Art/Retro,60,SDR,None,769a088b9ef04c04b341911a1ef8b8ecrcp1,Not compatible with 4K mode
Cyberpunk,3200x1800,30,HDR,None,49697e672bc34e7d8a5f73f78cb580d0rcp1,Pixel Count | Specs confirmed by devs/pubs | Performance/Quality toggle | 60FPS in 1080p mode | 30FPS in 1080p mode
Darksiders Genesis,2560x1440,60,SDR,None,f39390395ed5444d8e9b23460c8f9152rcp1,Pixel Count
Dead by Daylight,2880x1620,60,SDR,"PC,Xbox,PlayStation,Nintendo Switch",b67e43f2b05f4ba7acc56a4b222568aarcp1,Pixel Count
Destiny 2,1920x1080,60,HDR,"PC,Xbox,PlayStation",20e792017ab34ad89b70dc17a5c72d68rcp1,Pixel Count | Specs confirmed by devs/pubs | No HDR settings
Destroy All Humans,1920x1080,30,SDR,None,0fd3103549b54c7e89afd6eed83672cercp1,Pixel Count | Not compatible with 4K mode
DiRT 5,1920x1080,60,,None,ed81a01114044edcacfa52656b259d41rcp1,Pixel Count
Disco Elysium,3840x2160,60,SDR,None,01082780d6f4421c9635b22021f05ff5rcp1,Pixel Count
DOOM (2016),3200x1800,60,SDR,None,cc1a8e0e94d54f15a22149fed93bbd7arcp1,Pixel Count
DOOM 64,Pixel Art/Retro,60,SDR,None,5a0e892c933c4f56b4d87976cb655ecfrcp1,
DOOM Eternal,3200x1800,60,HDR,None,632522c846a041ce801e47b96ba2e265rcp1,Specs confirmed by devs/pubs | Pixel Count
DRAGON BALL XENOVERSE 2,3840x2160,60,SDR,None,80a70c13987841b3a2aedbcac54784abrcp1,Pixel Count
DRAGON QUEST XI S: Echoes of an Elusive Age,1728x972,60,SDR,None,6cf458a458cd4b2e8161c740c4844621rcp1,Pixel Count | No HDR settings
El Hijo - A Wild West Tale,3840x2160,60,SDR,None,d46f9c2d858d41d6ae4cc12d186657f0rcp1,Specs confirmed by devs/pubs | Pixel Count
Embr,1920x1080,60,HDR,"PC,PlayStation,Xbox",d599576cddfc400f804b889460e84cb3rcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
Enter the Gungeon,Pixel Art/Retro,60,SDR,None,8f0addba5d3d4c05b07d7b59481e0171rcp1,Not compatible with 4K mode
Epistory - Typing Chronicles,3840x2160,60,SDR,None,cddb29b222924d11b2bf03a82fee477arcp1,Pixel Count
Everspace,1920x1080,60,SDR,None,44752f1774ca4508a2c45e57121d7e8frcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
F1 2020,3840x2160,60,HDR,None,f3519f3dc3d74fbb8086520577b832e0rcp1,Pixel Count | Specs confirmed by devs/pubs
Family Feud,,60,SDR,None,5ba98de70c8c4b64bf56ca9009d60e62rcp1,
Far Cry 5,3840x2160,30,HDR,None,7d9beb13648d44839b9aeea7555c37c0rcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Far Cry 6,,,,None,5eb3896383464e2897b3d4b56a5b3a1drcp1,
Far Cry New Dawn,3840x2160,30,HDR,None,a2a4ff75e249404a975db7ae5f77e536rcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Farming Simulator 19,3360x1890,60,HDR,PC,ebf235012b054269af70eee901bc85cfrcp1,Pixel Count | Specs confirmed by devs/pubs
FIFA 21,3840x2160,60,HDR,None,2c4539adc1e641c0bb2cd0e4032eec75rcp1,Pixel Count
Figment,1920x1080,60,SDR,None,7183914d07034cb1bbb8a511779bc1efrcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
Final Fantasy XV,1920x1080,30,HDR,None,a447622dbe084c3e9ace4f913a939afarcp1,Pixel Count | No HDR settings | 30FPS in 1080p mode
Floor Kids,1920x1080,60,HDR,None,e184f2da322a41c9a31b3ef2c473f95arcp1,Pixel Count | Not compatible with 4K mode | No HDR settings
Football Manager 2020,1920x1080,60,HDR,None,8a3cc52ad2334b1e91ded77bc43644e0rcp1,Pixel Count
FORECLOSED,,,,None,80869457fb214724a5058437e86007b6rcp1,
